date,product,price,promotion,sales,year,month,day,day_of_week,is_weekend,sales_previous_day,sales_previous_7_days,sales_7_day_average
2025-01-08,laptop,780,1,11,2025,1,8,2,0,8.0,5.0,7.285714285714286
2025-01-09,laptop,780,1,12,2025,1,9,3,0,11.0,6.0,8.142857142857142
2025-01-10,laptop,800,0,8,2025,1,10,4,0,12.0,9.0,9.0
2025-01-11,laptop,800,0,7,2025,1,11,5,1,8.0,10.0,8.857142857142858
2025-01-12,laptop,800,0,6,2025,1,12,6,1,7.0,7.0,8.428571428571429
2025-01-13,laptop,800,0,7,2025,1,13,0,0,6.0,6.0,8.285714285714286
2025-01-14,laptop,790,1,10,2025,1,14,1,0,7.0,8.0,8.428571428571429
2025-01-15,laptop,790,1,11,2025,1,15,2,0,10.0,11.0,8.714285714285714
2025-01-16,laptop,800,0,8,2025,1,16,3,0,11.0,12.0,8.714285714285714
2025-01-17,laptop,800,0,7,2025,1,17,4,0,8.0,8.0,8.142857142857142
2025-01-18,laptop,800,0,8,2025,1,18,5,1,7.0,7.0,8.0
2025-01-19,laptop,800,0,7,2025,1,19,6,1,8.0,6.0,8.142857142857142
2025-01-20,laptop,780,1,12,2025,1,20,0,0,7.0,7.0,8.285714285714286
2025-01-21,laptop,780,1,13,2025,1,21,1,0,12.0,10.0,9.0
2025-01-22,laptop,800,0,8,2025,1,22,2,0,13.0,11.0,9.428571428571429
2025-01-23,laptop,800,0,9,2025,1,23,3,0,8.0,8.0,9.0
2025-01-24,laptop,800,0,8,2025,1,24,4,0,9.0,7.0,9.142857142857142
2025-01-25,laptop,800,0,7,2025,1,25,5,1,8.0,8.0,9.285714285714286
2025-01-26,laptop,790,1,11,2025,1,26,6,1,7.0,7.0,9.142857142857142
2025-01-27,laptop,790,1,12,2025,1,27,0,0,11.0,12.0,9.714285714285714
2025-01-28,laptop,800,0,9,2025,1,28,1,0,12.0,13.0,9.714285714285714
2025-01-29,laptop,800,0,8,2025,1,29,2,0,9.0,8.0,9.142857142857142
2025-01-30,laptop,800,0,9,2025,1,30,3,0,8.0,9.0,9.142857142857142
2025-01-31,laptop,800,0,8,2025,1,31,4,0,9.0,8.0,9.142857142857142
2025-02-01,laptop,790,1,11,2025,2,1,5,1,8.0,7.0,9.142857142857142
2025-02-02,laptop,790,1,12,2025,2,2,6,1,11.0,11.0,9.714285714285714
2025-02-03,laptop,800,0,9,2025,2,3,0,0,12.0,12.0,9.857142857142858
2025-02-04,laptop,800,0,8,2025,2,4,1,0,9.0,9.0,9.428571428571429
2025-02-05,laptop,800,0,9,2025,2,5,2,0,8.0,8.0,9.285714285714286
2025-02-06,laptop,780,1,13,2025,2,6,3,0,9.0,9.0,9.428571428571429
2025-02-07,laptop,780,1,14,2025,2,7,4,0,13.0,8.0,10.0
2025-02-08,laptop,800,0,10,2025,2,8,5,1,14.0,11.0,10.857142857142858
2025-02-09,laptop,800,0,9,2025,2,9,6,1,10.0,12.0,10.714285714285714
2025-02-10,laptop,800,0,10,2025,2,10,0,0,9.0,9.0,10.285714285714286
2025-02-11,laptop,790,1,12,2025,2,11,1,0,10.0,8.0,10.428571428571429
2025-02-12,laptop,790,1,13,2025,2,12,2,0,12.0,9.0,11.0
2025-02-13,laptop,800,0,9,2025,2,13,3,0,13.0,13.0,11.571428571428571
2025-02-14,laptop,800,0,10,2025,2,14,4,0,9.0,14.0,11.0
2025-02-15,laptop,780,1,14,2025,2,15,5,1,10.0,10.0,10.428571428571429
2025-02-16,laptop,780,1,15,2025,2,16,6,1,14.0,9.0,11.0
2025-02-17,laptop,800,0,10,2025,2,17,0,0,15.0,10.0,11.857142857142858
2025-02-18,laptop,800,0,9,2025,2,18,1,0,10.0,12.0,11.857142857142858
2025-02-19,laptop,800,0,10,2025,2,19,2,0,9.0,13.0,11.428571428571429
2025-02-20,laptop,790,1,13,2025,2,20,3,0,10.0,9.0,11.0
2025-02-21,laptop,790,1,14,2025,2,21,4,0,13.0,10.0,11.571428571428571
2025-02-22,laptop,800,0,10,2025,2,22,5,1,14.0,14.0,12.142857142857142
2025-02-23,laptop,800,0,9,2025,2,23,6,1,10.0,15.0,11.571428571428571
2025-02-24,laptop,780,1,13,2025,2,24,0,0,9.0,10.0,10.714285714285714
2025-02-25,laptop,780,1,14,2025,2,25,1,0,13.0,9.0,11.142857142857142
2025-02-26,laptop,800,0,10,2025,2,26,2,0,14.0,10.0,11.857142857142858
2025-02-27,laptop,800,0,9,2025,2,27,3,0,10.0,13.0,11.857142857142858
2025-02-28,laptop,790,1,12,2025,2,28,4,0,9.0,14.0,11.285714285714286
